PC,    I,     INSTRUCTION,  x,   kk,    regVx
1b8,    0,     0,        0,  0,   0
1ba,    0,     0,        0,  0,   0
1bc,    0,     0,        0,  0,   0
1be,    0,     0,        0,  0,   0
1c0,    0,     0,        0,  0,   0
1c2,    0,     0,        0,  0,   0
1c4,    0,     0,        0,  0,   0
1c6,    0,     0,        0,  0,   0
1c8,    0,     0,        0,  0,   0
1ca,    0,     0,        0,  0,   0
1cc,    0,     0,        0,  0,   0
1ce,    0,     0,        0,  0,   0
1d0,    0,     0,        0,  0,   0
1d2,    0,     0,        0,  0,   0
1d4,    0,     0,        0,  0,   0
1d6,    0,     0,        0,  0,   0
1d8,    0,     0,        0,  0,   0
1da,    0,     0,        0,  0,   0
1dc,    0,     0,        0,  0,   0
1de,    0,     0,        0,  0,   0
1e0,    0,     0,        0,  0,   0
1e2,    0,     0,        0,  0,   0
1e4,    0,     0,        0,  0,   0
1e6,    0,     0,        0,  0,   0
1e8,    0,     0,        0,  0,   0
1ea,    0,     0,        0,  0,   0
1ec,    0,     0,        0,  0,   0
1ee,    0,     0,        0,  0,   0
1f0,    0,     0,        0,  0,   0
1f2,    0,     0,        0,  0,   0
1f4,    0,     0,        0,  0,   0
1f6,    0,     0,        0,  0,   0
1f8,    0,     0,        0,  0,   0
1fa,    0,     0,        0,  0,   0
1fc,    0,     0,        0,  0,   0
1fe,    0,     0,        0,  0,   0
200,    0,     0,        0,  0,   0
225,    0,     1225,        2,  25,   0
227,    0,     6000,        0,  0,   0
229,    0,     6100,        1,  0,   0
22b,    0,     6208,        2,  8,   8
22d,    3d3,     a3d3,        3,  d3,   0
22f,    3d3,     d018,        0,  18,   0
231,    3d3,     7108,        1,  8,   8
233,    3db,     f21e,        2,  1e,   8
235,    3db,     3120,        1,  20,   8
22d,    3db,     122d,        2,  2d,   8
22f,    3db,     d018,        0,  18,   0
231,    3db,     7108,        1,  8,   10
233,    3e3,     f21e,        2,  1e,   8
235,    3e3,     3120,        1,  20,   10
22d,    3e3,     122d,        2,  2d,   8
22f,    3e3,     d018,        0,  18,   0
231,    3e3,     7108,        1,  8,   18
233,    3eb,     f21e,        2,  1e,   8
235,    3eb,     3120,        1,  20,   18
22d,    3eb,     122d,        2,  2d,   8
22f,    3eb,     d018,        0,  18,   0
231,    3eb,     7108,        1,  8,   20
233,    3f3,     f21e,        2,  1e,   8
237,    3f3,     3120,        1,  20,   20
239,    3f3,     7008,        0,  8,   8
23b,    3f3,     6100,        1,  0,   0
23d,    3f3,     3040,        0,  40,   8
22d,    3f3,     122d,        2,  2d,   8
22f,    3f3,     d018,        0,  18,   8
231,    3f3,     7108,        1,  8,   8
233,    3fb,     f21e,        2,  1e,   8
235,    3fb,     3120,        1,  20,   8
22d,    3fb,     122d,        2,  2d,   8
22f,    3fb,     d018,        0,  18,   8
231,    3fb,     7108,        1,  8,   10
233,    403,     f21e,        2,  1e,   8
235,    403,     3120,        1,  20,   10
22d,    403,     122d,        2,  2d,   8
22f,    403,     d018,        0,  18,   8
231,    403,     7108,        1,  8,   18
233,    40b,     f21e,        2,  1e,   8
235,    40b,     3120,        1,  20,   18
22d,    40b,     122d,        2,  2d,   8
22f,    40b,     d018,        0,  18,   8
231,    40b,     7108,        1,  8,   20
233,    413,     f21e,        2,  1e,   8
237,    413,     3120,        1,  20,   20
239,    413,     7008,        0,  8,   10
23b,    413,     6100,        1,  0,   0
23d,    413,     3040,        0,  40,   10
22d,    413,     122d,        2,  2d,   8
22f,    413,     d018,        0,  18,   10
231,    413,     7108,        1,  8,   8
233,    41b,     f21e,        2,  1e,   8
235,    41b,     3120,        1,  20,   8
22d,    41b,     122d,        2,  2d,   8
22f,    41b,     d018,        0,  18,   10
231,    41b,     7108,        1,  8,   10
233,    423,     f21e,        2,  1e,   8
235,    423,     3120,        1,  20,   10
22d,    423,     122d,        2,  2d,   8
22f,    423,     d018,        0,  18,   10
231,    423,     7108,        1,  8,   18
233,    42b,     f21e,        2,  1e,   8
235,    42b,     3120,        1,  20,   18
22d,    42b,     122d,        2,  2d,   8
22f,    42b,     d018,        0,  18,   10
231,    42b,     7108,        1,  8,   20
233,    433,     f21e,        2,  1e,   8
237,    433,     3120,        1,  20,   20
239,    433,     7008,        0,  8,   18
23b,    433,     6100,        1,  0,   0
23d,    433,     3040,        0,  40,   18
22d,    433,     122d,        2,  2d,   8
22f,    433,     d018,        0,  18,   18
231,    433,     7108,        1,  8,   8
233,    43b,     f21e,        2,  1e,   8
235,    43b,     3120,        1,  20,   8
22d,    43b,     122d,        2,  2d,   8
22f,    43b,     d018,        0,  18,   18
231,    43b,     7108,        1,  8,   10
233,    443,     f21e,        2,  1e,   8
235,    443,     3120,        1,  20,   10
22d,    443,     122d,        2,  2d,   8
22f,    443,     d018,        0,  18,   18
231,    443,     7108,        1,  8,   18
233,    44b,     f21e,        2,  1e,   8
235,    44b,     3120,        1,  20,   18
22d,    44b,     122d,        2,  2d,   8
22f,    44b,     d018,        0,  18,   18
231,    44b,     7108,        1,  8,   20
233,    453,     f21e,        2,  1e,   8
237,    453,     3120,        1,  20,   20
239,    453,     7008,        0,  8,   20
23b,    453,     6100,        1,  0,   0
23d,    453,     3040,        0,  40,   20
22d,    453,     122d,        2,  2d,   8
22f,    453,     d018,        0,  18,   20
231,    453,     7108,        1,  8,   8
233,    45b,     f21e,        2,  1e,   8
235,    45b,     3120,        1,  20,   8
22d,    45b,     122d,        2,  2d,   8
22f,    45b,     d018,        0,  18,   20
231,    45b,     7108,        1,  8,   10
233,    463,     f21e,        2,  1e,   8
235,    463,     3120,        1,  20,   10
22d,    463,     122d,        2,  2d,   8
22f,    463,     d018,        0,  18,   20
231,    463,     7108,        1,  8,   18
233,    46b,     f21e,        2,  1e,   8
235,    46b,     3120,        1,  20,   18
22d,    46b,     122d,        2,  2d,   8
22f,    46b,     d018,        0,  18,   20
231,    46b,     7108,        1,  8,   20
233,    473,     f21e,        2,  1e,   8
237,    473,     3120,        1,  20,   20
239,    473,     7008,        0,  8,   28
23b,    473,     6100,        1,  0,   0
23d,    473,     3040,        0,  40,   28
22d,    473,     122d,        2,  2d,   8
22f,    473,     d018,        0,  18,   28
231,    473,     7108,        1,  8,   8
233,    47b,     f21e,        2,  1e,   8
235,    47b,     3120,        1,  20,   8
22d,    47b,     122d,        2,  2d,   8
22f,    47b,     d018,        0,  18,   28
231,    47b,     7108,        1,  8,   10
233,    483,     f21e,        2,  1e,   8
235,    483,     3120,        1,  20,   10
22d,    483,     122d,        2,  2d,   8
22f,    483,     d018,        0,  18,   28
231,    483,     7108,        1,  8,   18
233,    48b,     f21e,        2,  1e,   8
235,    48b,     3120,        1,  20,   18
22d,    48b,     122d,        2,  2d,   8
22f,    48b,     d018,        0,  18,   28
231,    48b,     7108,        1,  8,   20
233,    493,     f21e,        2,  1e,   8
237,    493,     3120,        1,  20,   20
239,    493,     7008,        0,  8,   30
23b,    493,     6100,        1,  0,   0
23d,    493,     3040,        0,  40,   30
22d,    493,     122d,        2,  2d,   8
22f,    493,     d018,        0,  18,   30
231,    493,     7108,        1,  8,   8
233,    49b,     f21e,        2,  1e,   8
235,    49b,     3120,        1,  20,   8
22d,    49b,     122d,        2,  2d,   8
22f,    49b,     d018,        0,  18,   30
231,    49b,     7108,        1,  8,   10
233,    4a3,     f21e,        2,  1e,   8
235,    4a3,     3120,        1,  20,   10
22d,    4a3,     122d,        2,  2d,   8
22f,    4a3,     d018,        0,  18,   30
231,    4a3,     7108,        1,  8,   18
233,    4ab,     f21e,        2,  1e,   8
235,    4ab,     3120,        1,  20,   18
22d,    4ab,     122d,        2,  2d,   8
22f,    4ab,     d018,        0,  18,   30
231,    4ab,     7108,        1,  8,   20
233,    4b3,     f21e,        2,  1e,   8
237,    4b3,     3120,        1,  20,   20
239,    4b3,     7008,        0,  8,   38
23b,    4b3,     6100,        1,  0,   0
23d,    4b3,     3040,        0,  40,   38
22d,    4b3,     122d,        2,  2d,   8
22f,    4b3,     d018,        0,  18,   38
231,    4b3,     7108,        1,  8,   8
233,    4bb,     f21e,        2,  1e,   8
235,    4bb,     3120,        1,  20,   8
22d,    4bb,     122d,        2,  2d,   8
22f,    4bb,     d018,        0,  18,   38
231,    4bb,     7108,        1,  8,   10
233,    4c3,     f21e,        2,  1e,   8
235,    4c3,     3120,        1,  20,   10
22d,    4c3,     122d,        2,  2d,   8
22f,    4c3,     d018,        0,  18,   38
231,    4c3,     7108,        1,  8,   18
233,    4cb,     f21e,        2,  1e,   8
235,    4cb,     3120,        1,  20,   18
22d,    4cb,     122d,        2,  2d,   8
22f,    4cb,     d018,        0,  18,   38
231,    4cb,     7108,        1,  8,   20
233,    4d3,     f21e,        2,  1e,   8
237,    4d3,     3120,        1,  20,   20
239,    4d3,     7008,        0,  8,   40
23b,    4d3,     6100,        1,  0,   0
23f,    4d3,     3040,        0,  40,   40
241,    4d3,     6905,        9,  5,   5
243,    4d3,     6c15,        c,  15,   15
245,    4d3,     6e00,        e,  0,   0
387,    4d3,     2387,        3,  87,   0
389,    4d3,     6a00,        a,  0,   0
38b,    4d3,     8de0,        d,  e0,   0
38d,    4d3,     6b04,        b,  4,   4
391,    4d3,     e9a1,        9,  a1,   5
393,    602,     a602,        6,  2,   0
395,    602,     fd1e,        d,  1e,   0
397,    603,     f065,        0,  65,   ffa8
399,    603,     30ff,        0,  ff,   ffa8
3a5,    603,     13a5,        3,  a5,   0
3a7,    500,     a500,        5,  0,   0
3a9,    4a8,     f01e,        0,  1e,   ffa8
3ab,    4a8,     dbc6,        b,  c6,   4
3ad,    4a8,     7b08,        b,  8,   c
3af,    4a8,     7d01,        d,  1,   1
3b1,    4a8,     7a01,        a,  1,   1
3b3,    4a8,     3a07,        a,  7,   1
38d,    4a8,     138d,        3,  8d,   0
391,    4a8,     e9a1,        9,  a1,   5
393,    602,     a602,        6,  2,   0
395,    603,     fd1e,        d,  1e,   1
397,    604,     f065,        0,  65,   ffa8
399,    604,     30ff,        0,  ff,   ffa8
3a5,    604,     13a5,        3,  a5,   0
3a7,    500,     a500,        5,  0,   0
3a9,    4a8,     f01e,        0,  1e,   ffa8
3ab,    4a8,     dbc6,        b,  c6,   c
3ad,    4a8,     7b08,        b,  8,   14
3af,    4a8,     7d01,        d,  1,   2
3b1,    4a8,     7a01,        a,  1,   2
3b3,    4a8,     3a07,        a,  7,   2
38d,    4a8,     138d,        3,  8d,   0
391,    4a8,     e9a1,        9,  a1,   5
393,    602,     a602,        6,  2,   0
395,    604,     fd1e,        d,  1e,   2
397,    605,     f065,        0,  65,   ffa8
399,    605,     30ff,        0,  ff,   ffa8
3a5,    605,     13a5,        3,  a5,   0
3a7,    500,     a500,        5,  0,   0
3a9,    4a8,     f01e,        0,  1e,   ffa8
3ab,    4a8,     dbc6,        b,  c6,   14
3ad,    4a8,     7b08,        b,  8,   1c
3af,    4a8,     7d01,        d,  1,   3
3b1,    4a8,     7a01,        a,  1,   3
3b3,    4a8,     3a07,        a,  7,   3
38d,    4a8,     138d,        3,  8d,   0
391,    4a8,     e9a1,        9,  a1,   5
393,    602,     a602,        6,  2,   0
395,    605,     fd1e,        d,  1e,   3
397,    606,     f065,        0,  65,   ffa8
399,    606,     30ff,        0,  ff,   ffa8
3a5,    606,     13a5,        3,  a5,   0
3a7,    500,     a500,        5,  0,   0
3a9,    4a8,     f01e,        0,  1e,   ffa8
3ab,    4a8,     dbc6,        b,  c6,   1c
3ad,    4a8,     7b08,        b,  8,   24
3af,    4a8,     7d01,        d,  1,   4
3b1,    4a8,     7a01,        a,  1,   4
3b3,    4a8,     3a07,        a,  7,   4
38d,    4a8,     138d,        3,  8d,   0
391,    4a8,     e9a1,        9,  a1,   5
393,    602,     a602,        6,  2,   0
395,    606,     fd1e,        d,  1e,   4
397,    607,     f065,        0,  65,   ffa8
399,    607,     30ff,        0,  ff,   ffa8
3a5,    607,     13a5,        3,  a5,   0
